企業名,勤務地,給与,初年度年収
上海中和軟件有限公司 ,★転勤なし ★U・Iターン歓迎 ★テレワーク実施中 ◆全国(東京23区、神奈川県横浜市、愛知県名古…,年俸：540万円〜1200万円 ※年俸額の1/12を毎月支給（月額45万円〜100万円） ※経験・スキル・年齢を考慮…,540万円～1200万円
パーソルテクノロジースタッフ株式会社 ,新宿本社または首都圏エリア（東京、神奈川、千葉、埼玉）の各クライアント先での勤務となります。 ★都…,月給23万6000円〜＋賞与年2回＋各種手当など ※経験・能力に応じて決定します ※残業代別途全額支給しま…,初年度年収のデータなし
株式会社 askme ,【転勤なし！駅チカでアクセス抜群♪】 大阪または東京での勤務となります ※勤務先は希望に応じます…,◆月給23万円以上＋諸手当 ※経験・スキル・前職の給与を考慮し、決定します ※3ヶ月の試用期間がありま…,300万円～550万円
有限会社西牧通信 ,【転勤なし／UIターン歓迎／直行直帰】 本社：東京都調布市多摩川3-67-10 ★担当する現場は……,月給25万円〜30万円 【モデル年収】 月収30万円／26歳 月収40万円／30歳 ※年に2回給与査定あり。 スキ…,350万円～450万円
株式会社アクティブフュージョンズ ,★リモートワーク・時差通勤を推奨！U・Iターン歓迎。 大阪府内または一都三県(東京・神奈川・千葉・…,月給26万円〜50万円＋賞与（年2回）＋各種手当 ★月収想定：31万円〜56万円 ※試用期間3ヶ月（同条件） …,400万円～650万円
株式会社ラッシュジャパン ,《転勤なし》 【本社】神奈川県愛甲郡愛川町中津4027-3 ※送迎バス有 ※車・自転車通勤可能 ＜…,【管理職】年俸500万円以上 【スタッフ】年俸350万円以上 ※年俸額の1/12（管理職41万6700円以上、スタ…,350万円～600万円
朝日税理士法人 ,世田谷区【用賀事務所】 【用賀事務所】東京都世田谷区玉川台2-3-20　第5YNビル2階 田園都市…,月給27万円〜40万円 ※経験・能力により優遇いたします。 ※試用期間３カ月（同条件）,400万円～600万円
株式会社AZGRAPH ,全国どこでも勤務可能。 研修後、リモートワークとなります。 ★本社で勤務することも可能ですので、…,月給20万〜40万円 ※あなたの年齢、経験、能力などを考慮した上で、 　当社の規定により優遇します。 ★…,300万円～500万円
株式会社ロマック ,《駅徒歩約5分でアクセス良好！》 【神奈川／東京／埼玉いずれかの支店に配属します】 ※本人の希望を…,月給18万円〜30万円＋各種手当＋賞与年2回（前年度実績:1〜最大4ヵ月分） ※経験・年齢・能力等を考慮し…,250万円～450万円
公益財団法人 日本数学検定協会 ,【本部】 東京都台東区上野5-1-1　文昌堂ビル6階 《アクセス》 JR・東京メトロ日比谷線「秋葉…,"月給21万5,000円〜25万3,000円 ＋諸手当 ＋賞与年2回 ※年齢・スキルに応じて当協会規程により決定いたし…",340万円～420万円
株式会社日立リアルエステートパートナーズ ,★U/Iターン歓迎！ 千葉県茂原市早野2648番地1,"月給：217,000円〜 ※上記は2021年大卒新卒初任給実績となります。 ※給与につきましては、年齢・経験な…",400万円～450万円
日新興業株式会社 ,複数路線が通る神田駅スグの好立地！ ▼所在地 東京都千代田区神田須田町1-26-5 ▼アクセス 銀…,"月給201,500円〜＋賞与年2回（昨年実績4.5か月分） ※上記はあくまでも新卒の最低保証金額です。 ※経験…",300万円～500万円
三共商事株式会社 ,北関東営業所・埼玉営業所・神奈川営業所のいずれか ※あなたの希望を優先します。 ※転勤はありません…,月給25万円〜35万円（試用期間3ヶ月／待遇に変更はありません） ※経験・年齢を考慮の上、当社規定により…,350万円～450万円
株式会社EMD ,＜在宅勤務でも東北支社勤務でもOK＞ ◎転勤なし ◎マイカー通勤OK（一部条件あり） ◎U・Iター…,月給22万円〜80万円+賞与【 年2回／昨年度実績：5ヶ月分 】 ※経験・能力を考慮の上、決定します。 ※通…,320万円～700万円
GMOペパボ株式会社 ,リモートワーク（国内居住地不問）または会社が指定したオフィスとなります。 【下記、指定オフィス】…,■月給22万9千円＋リモートワーク手当3.5千円 ※経験、能力を考慮のうえ、決定します。,初年度年収のデータなし
株式会社国際マイクロ写真工業社 ,【転勤なし／「牛込神楽坂駅」徒歩１分】 東京都新宿区箪笥町4番地３,"月給 224,567円以上 ＋ 諸手当 + 賞与年２回 ※経験・年齢等を考慮の上、決定します。 ※研修・試用期間…",初年度年収のデータなし
テルウェル東日本株式会社 ,【都内5拠点で募集中】 ☆各拠点とも駅近！ ☆NTTグループ某大手企業 ☆希望を考慮し決定します…,月給20万円〜 ＋ 残業代全額支給 ＋ 諸手当 ※試用期間3カ月あり。条件は変わりません。 　その後、最長…,初年度年収のデータなし
大成エンジニアリング株式会社 ,【交通費全額支給・転勤なし・UIターン歓迎】 ★配属先はご希望を考慮 ★「駅チカ」のオフィス ★在…,"■月給31万3,500円〜61万3,900円 ＋賞与3回 ※能力や経験、前職給与などを最大限考慮したします",500万円～900万円
株式会社BuySell Technologies ,★転勤なし！ ★新宿御苑前駅／四谷三丁目駅より徒歩6分！ ★新宿駅も徒歩圏内♪ 〈本社〉 東京都新…,〈年俸制〉300万円〜450万円（月額換算：25万円〜37万5000円） ※スキル・経験を最大限考慮の上、決定し…,300万円～450万円
株式会社リンクスクエア ,【転勤なし／U・Iターン歓迎】 ■本社(仙台駅近く)で自社内開発 ■仙台駅周辺、仙台市近郊、東京都…,"月給23万円〜 ※あなたの経験・年齢を考慮し、当社規定により優遇します。 ※固定残業代(30時間分/40,00…",300万円～450万円
株式会社アラカン ,【 関西〜中国エリアを担当 ／ 直行直帰＋出社義務なし】 大阪・兵庫・京都・滋賀・奈良・和歌山・岡…,月給25万円〜50万円 ※経験・スキル・年齢を考慮の上、決定します。 ※試用期間3ヶ月（待遇に変動なし） …,300万円～600万円
株式会社朝日出版社 ,◆◇ 「九段下駅」「神保町駅」「水道橋駅」の3駅が利用できる好立地です ◇◆ 本社（東京都千代田区…,月給23万円以上 ※経験、能力を考慮の上、弊社規定により優遇いたします。 ※試用期間1ヶ月はアルバイト…,初年度年収のデータなし
株式会社ドリームジャック ,【クライアント先常駐・自社内開発・リモートワーク（テレワーク）も可能！】※希望に応じて東京都・大阪…,"◇月給30万円〜50万円 ※固定残業代（4万1,000円〜6万8,500円、20時間相当分）含む。 　20時間超過分は…",420万円～600万円
株式会社ストリームグラフ ,★転勤なし ★代々木公園駅／代々木八幡駅より徒歩3分！ 【東京都渋谷区の当社オフィスに勤務】 ⇒有…,〈年俸〉400万円以上（月額換算33.3万円以上）＋インセンティブ ※経験・スキルを最大限考慮のうえ決定…,400万円～500万円
株式会社ベネス ,★リモートワーク！『おうちで開発』しましょう★ 働き方についてご相談ください！ WEB面接により、…,【月給】 25万円〜35万円 ※経験・スキル・能力を評価し総合的に判断いたします,350万円～500万円
株式会社エストコーポレーション ,【オシャレな本社オフィスで働ける♪】 ※西宮北口駅より徒歩8分の好立地 ◆本社／兵庫県西宮市北昭和…,◆月給：月給20〜25万円 ※試用期間3ヶ月間【試用期間中は月給20万円】 ※経験・スキルを考慮の上、当社…,300万円～400万円
日本コンセントリクス株式会社 ,★転勤なし ★全国どこでも働ける【完全在宅勤務です】 【事業所一覧】 《北海道》 札幌市・旭川市…,【東京23区内で勤務する方】月給28.7万円〜 【東京23区外で勤務する方】月給25.2万円〜 ※経験・能力・…,300万円～400万円
株式会社ＯＮＥ ,◆東京本社／東京都新宿区新宿4-3-25 TOKYU REIT新宿ビル4階 ※「新宿三丁目駅」E5…,未経験（経験が浅い方） 月給23万円〜 経験者 月給30万円〜 月給23万円〜：みなし残業代45時間分／5.9…,300万円～1000万円
廣瀬無線電機株式会社 ,★「秋葉原駅」徒歩3分 ★時差出勤・テレワーク実施中 本社／東京都千代田区外神田1丁目10番5号…,月給22万円〜30万円＋諸手当＋賞与年2回（3.4カ月分） ※経験・能力を考慮の上、決定します。 ※試用期…,300万円～500万円
visible株式会社 ,東京都港区港南 ◆最寄り駅／りんかい線「天王洲アイル」駅 【本社】 神奈川県横浜市都筑区南山田町4…,月給（初任給）20万円〜35万円＋諸手当 ※経験・資格等を考慮し決定,初年度年収のデータなし
ハイアットGCCジャパン合同会社 ,在宅勤務となります。 新宿オフィス 東京都新宿区西新宿1-4-11全研ビル　SPACES新宿9階…,"月給278,000円〜 ＋ 交通費 ＋ シフト手当 ＋ 食事手当 ※TOEIC(R)テスト800点以上の方は、「語学手当」…",300万円～400万円
