企業名,勤務地,給与,初年度年収
株式会社エックスラボ ,≪ 転勤なし！アクセスも便利なオフィス ≫ 大阪府大阪市北区豊崎2-7-9 豊崎いずみビル4階 ＜…,"月給27万〜35万円＋諸手当 ※経験やスキルなどを考慮の上、当社規定により優遇します ※固定残業代（49,…",初年度年収のデータなし
株式会社インフラックス ,《転勤なし／U・Iターン歓迎／港区のBOATRACE六本木で勤務》 ★直行直帰 ★駅チカなので通勤…,月給：21万円以上＋残業代全額支給 ◎今回の転職が不利にならないよう 　あなたの経験・スキルを考慮の…,280万円～400万円
株式会社飛鳥エンジニアリング ,★転勤なし・UIターン歓迎！ 本社／ 神奈川県川崎市川崎区南町1-8 林ビル川崎5階 ※希望者には…,"月給：20万1,000円以上 + 諸手当 ＋ 賞与年2回 ※経験・年齢・前職での給与などを考慮の上、決定いたし…",250万円～500万円
株式会社 スマートエナジー ,<東京/京橋/銀座一丁目/宝町…各駅よりアクセス抜群！転勤ナシ！> 東京都中央区八重洲2‐７-２…,"月給666,000 〜 1,250,000円 ※経験、能力を考慮の上、面接にて決定します。",800万円～1500万円
株式会社ヴィカーナ ,【転勤なし！】 ★「渋谷駅」新南口より徒歩1分！ ★週2〜3日のテレワーク勤務を実施しています！…,月給25万円以上 ※経験やスキルを考慮した上で決定いたします。 ※試用期間3か月間（最長6ヶ月間）あり。…,初年度年収のデータなし
KYODOU株式会社 ,【東京オフィス】 東京都千代田区丸の内2-4-1　丸の内ビルディング9階,月給25万円〜＋各種手当＋賞与年2回 ※経験・能力に応じて決定 ※時間外手当、別途全額支給 ※試用期間あ…,300万円～400万円
株式会社東北農都共生総合研究所 ,【転勤なし／マイカー通勤OK！】 <本社> 宮城県仙台市上杉1丁目16-30 東日本ビル 7階 <…,"月給：350,000円〜420,000円+賞与 ※経験、能力、年齢に応じて、当社規定により決定いたします。 ※月給…",420万円～500万円
三共商事株式会社 ,東京都港区港南2-4-3　三和港南ビル7階,月給25万円〜35万円 ※試用期間3か月あり。その間の待遇に変更はありません。 ※経験・能力・年齢を考慮…,300万円～500万円
西尾レントオール株式会社 ,☆希望を考慮して【福山・岡山・香川・愛媛・徳島・高知エリア】のいずれかに配属します ※【中国エリア…,◇月給：20万円 〜30万円 ＋ 諸手当 ※上記はあくまでも最低保障です ※年齢、経験、能力を考慮の上、優…,350万円～550万円
三共商事株式会社 ,【神奈川営業所】 〒242-0002　神奈川県大和市つきみ野1-1-30 ※車バイク通勤可,月給22万円〜30万円 例）事務経験3年の方／月給25万円〜 ※試用期間3か月あり。その間の待遇に変更はあり…,300万円～500万円
株式会社リージス・ジャパン ,【「巣鴨駅」徒歩5分／週2日テレワーク実施中】 本社 東京都豊島区巣鴨1-19-12　はい原ビル5階,月給23万円〜30万円＋職能手当（1万円〜3万円）+ 賞与年2回 ※上記金額には、見込み残業代30時間分（5万…,320万円～420万円
株式会社wings ,★稲城オフィス勤務★ ★転勤なし★ 東京都稲城市東長沼568-11 訪問現場からの直行直帰OK！,月給25万円〜＋各種手当＋インセンティブ ※経験・能力等を考慮した上で決定いたします ＼頑張りを正当…,350万円～450万円
株式会社スタッフクリエイション ,東京オフィス 東京都千代田区神田多町2-3-1 5F ※最寄駅：各線「神田駅」「淡路町駅」「小川町…,東京 ┗月給30万円+月次インセンティブ+賞与年2回 　(みなし残業手当(32時間/5万円)含む) ※試用期間中(3…,420万円～600万円
株式会社ドリームジャック ,【クライアント先常駐・自社内開発・リモートワーク（テレワーク）も可能！】※希望に応じて東京都・大阪…,"◇月給30万円〜50万円 ※固定残業代（4万1,000円〜6万8,500円、20時間相当分）含む。 　20時間超過分は…",420万円～600万円
株式会社ワンプルーフ,◆在宅勤務 ・新型コロナウイルス感染防止対策による全社的なテレワークを継続中につき、当面の間は原則…,◆月給：30万円〜50万円 ＋ インセンティブ ◆業界高水準の給与体系！ ※経験・年齢を考慮のうえ優遇いた…,360万円～700万円
旭トステム外装株式会社 ,【テレワーク導入済み】 〈本社〉 東京都江東区毛利1-19-10　江間忠錦糸町ビル6Ｆ 〈アクセス…,月給 21万円〜 + 諸手当（時間外手当など） + 賞与 ※経験を考慮して、当社規定により優遇致します。 ※…,400万円～550万円
株式会社アイビック ,福岡支店／福岡県福岡市博多区麦野6-24-9 ※転勤なし ※マイカー通勤OK,月給20万円〜 + 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※待遇条件の詳細については、面接…,初年度年収のデータなし
株式会社エストコーポレーション ,【オシャレな本社オフィスで働ける♪】 ※西宮北口駅より徒歩8分の好立地 ◆本社／兵庫県西宮市北昭和…,◆月給：月給20〜25万円 ※試用期間3ヶ月間【試用期間中は月給20万円】 ※経験・スキルを考慮の上、当社…,300万円～400万円
日本コンセントリクス株式会社 ,★転勤なし ★全国どこでも働ける【完全在宅勤務です】 【事業所一覧】 《北海道》 札幌市・旭川市…,【東京23区内で勤務する方】月給28.7万円〜 【東京23区外で勤務する方】月給25.2万円〜 ※経験・能力・…,300万円～400万円
株式会社日立ソリューションズ ,＜横浜事業所＞ 横浜市戸塚区吉田町292 ＜アクセス＞ 各線「戸塚駅」より徒歩8分,月給：23万円〜＋各種手当 ※年齢・経験・能力を考慮の上、 　当社規定により優遇いたします。 ※試用期…,初年度年収のデータなし
株式会社アマダ ,≪転勤なし≫≪U・Iターン&遠方からのご応募も歓迎≫ 【本社・伊勢原事業所】 神奈川県伊勢原市石田…,【経験3年以上】月給26万円〜50万円＋諸手当＋賞与年2回(4.6ヶ月分※2020年度実績) 【未経験(経験3年未満…,350万円～900万円
廣瀬無線電機株式会社 ,★「秋葉原駅」徒歩3分 ★時差出勤・テレワーク実施中 本社／東京都千代田区外神田1丁目10番5号…,月給22万円〜30万円＋諸手当＋賞与年2回（3.4カ月分） ※経験・能力を考慮の上、決定します。 ※試用期…,300万円～500万円
株式会社ハラプレックス ,※転勤なし 【東京支社】 東京都千代田区神田神保町2-38　いちご九段ビル7階 《アクセス》 東京…,"月給22万円〜26万5,000円（一律手当を含む）＋諸手当 ＋賞与年2回 ※経験・スキル・年齢を考慮の上、決定…",初年度年収のデータなし
株式会社日立ソリューションズ ,＜横浜事業所＞ 横浜市戸塚区吉田町292 ＜アクセス＞ 各線「戸塚駅」より徒歩8分,月給：23万円〜＋各種手当 ※年齢・経験・能力を考慮の上、 　当社規定により優遇いたします。 ※試用期…,初年度年収のデータなし
株式会社山梅 ,本社(群馬県太田市)および関東一円の各現場（★転勤はありません） ※直行直帰OK ◆本社／群馬県太…,月給23万円〜32万円 ※経験・年齢を考慮の上、当社規定により優遇します。 ★【こんな経験があれば活か…,340万円～450万円
株式会社ハイサイド,【本社】 東京都目黒区中目黒1-8-1 VORT中目黒Ｉ（ＩＴビル） ４F →東急東横線・東京メト…,月給25万円以上 ※試用期間3ヵ月／月給23万円以上 ※上記はあくまでスタートライン。 　年齢・経験・能…,初年度年収のデータなし
ハイアットGCCジャパン合同会社 ,在宅勤務となります。 新宿オフィス 東京都新宿区西新宿1-4-11全研ビル　SPACES新宿9階…,"月給278,000円〜 ＋ 交通費 ＋ シフト手当 ＋ 食事手当 ※TOEIC(R)テスト800点以上の方は、「語学手当」…",300万円～400万円
株式会社藤建ビルテクノス ,【U・Iターン歓迎／家探しもお手伝い可／転居を伴う転勤なし】 ★「浅草橋駅」徒歩2分 ◆本社／東京…,月給35万〜50万円+賞与年2回（昨年実績4ヵ月分超） ※経験・スキル・年齢を考慮の上、決定します。 ※上…,500万円～800万円
株式会社日立システムズ ,《アクセス》 JR「大崎駅」徒歩3分 本社第二別館／品川区大崎1-11-1　ゲートシティ大崎ウエス…,月給24万円以上 ※ 年齢・経験・能力を考慮の上、当社規定により優遇いたします。,初年度年収のデータなし
株式会社MSソリューションズ ,福岡本社（ 博多区 ）もしくは、 首都圏支社（ 千葉県船橋市 ）のいずれかの希望勤務地 ※テレワー…,"月給247,350円〜365,158円 ＋ 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※経験のある方は、…",初年度年収のデータなし
株式会社アマダ ,≪転勤なし≫≪U・Iターン&遠方からのご応募も歓迎≫ 【本社・伊勢原事業所】 神奈川県伊勢原市石田…,【経験3年以上】月給26万円〜50万円＋諸手当＋賞与年2回(4.6ヶ月分：2020年度実績) 【未経験(経験3年未満…,350万円～900万円
税理士法人英智 ,【地域に密着して働きたい方にピッタリ！】 久喜事務所／埼玉県久喜市久喜東3-6-10 ★マイカー通…,【月給】25万円〜35万円 ※経験・年齢・能力を考慮の上、当社規定にて優遇,350万円～450万円
